"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Engineering Design Projects","Course Total","","40","3.588","42.5","42.5","12.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"351
Interdis Exper Dsgn Projects I","001","","28","3.786","75.0","7.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"352
Interdis Expr Dsgn Projects II","001","","68","3.809","73.5","16.2","8.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"361","001","","42","2.683","14.3","16.7","23.8","11.9","21.4","2.4","7.1",".",".",".",".",".",".",".","2.4","."
"361","002","","58","2.947","24.1","15.5","12.1","29.3","13.8","1.7","1.7",".",".",".",".",".",".",".","1.7","."
"361","003","","43","2.953","9.3","25.6","30.2","20.9","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","143","2.872","16.8","18.9","21.0","21.7","15.4","2.1","2.8",".",".",".",".",".",".",".","1.4","."
"363","001","","47","3.181","12.8","42.6","23.4","10.6","10.6",".",".",".",".",".",".",".",".",".",".","."
"363","002","","70","3.307","30.0","12.9","51.4",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","","117","3.256","23.1","24.8","40.2","4.3","7.7",".",".",".",".",".",".",".",".",".",".","."
"364
Elementary Heat Transfer","001","","113","3.259","20.4","35.4","25.7","12.4","4.4","0.9",".",".",".",".",".",".",".",".","0.9","."
"368
Engr Measure & Instrumentation","001","","87","3.667","58.6","24.1","12.6","1.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"370
Energy Systems Laboratory","001","","88","3.188","18.2","19.3","47.7","11.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"417
Transport in Polymer Proc","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"418
Engr Design with Polymers","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"424","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"424","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design","Course Total","","4","***","","","","","","","","","","","","","","","",""
"437
Advanced Materials Selection","001","","18","3.471","22.2","50.0","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"446
Automatic Controls","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"447","001","","30","3.067","16.7","6.7","63.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"447","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","","33","3.030","15.2","6.1","60.6","6.1","12.1",".",".",".",".",".",".",".",".",".",".","."
"449
Redesign & Prototype Fab","001","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"460
Applied Thermal/Struct FE Anal","001","","32","3.672","68.8","15.6","12.5",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"461
Thermal Systems Modeling","001","","30","3.250","16.7","26.7","50.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","9","3.389","44.4",".","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"489","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","8","3.632","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"491","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
