"Fourth Semester Hebrew","202
001
3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302
001
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Modern Hebrew Lit II","402
001
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"HEBR-MOD
442","19
Dept. Total","3.699","68.4","26.3","",".","",".","",".","5.3","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","5","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","6","3.250","33.3","50.0","",".","",".","",".","16.7","",".","",".","",".",".",".",".",".",".",".","."
"Undergraduates","18","3.681","66.7","27.8","",".","",".","",".","5.6","",".","",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
19","3.699","68.4","26.3","",".","",".","",".","5.3","",".","",".","",".",".",".",".",".",".",".","."
