"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","642
001","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","26","3.788","69.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","001
644","","24","3.813","91.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Intellectual Freedom","645
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","646
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Cataloging & Classification","Course Total","","24","3.761","54.2","37.5","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Info Services Management","654
001","","23","3.630","43.5","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","6","3.167","50.0","16.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","655
002","","10","2.667","40.0","20.0",".",".",".","10.0","20.0",".",".",".",".",".","10.0",".",".","."
"Collection Management","Course Total","","16","2.867","43.8","18.8",".","6.3",".","12.5","12.5",".",".",".",".",".","6.3",".",".","."
"","661
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Analytics","705
001","","16","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","001
712","","36","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","21","3.571","47.6","28.6","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Digital Humanities Analytics","768
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
003","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
004","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","37","3.892","81.1","16.2","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-LIS Foundatns:Hist&Philos","950
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
