"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","118","3.903","90.7","3.4","3.4","0.8","1.7",".",".",".",".",".",".",".",".",".",".","."
"","301
002","110","3.702","69.1","14.5","7.3","6.4","0.9",".","0.9",".",".",".",".",".","0.9",".",".","."
"How People Learn","Course Total","228","3.806","80.3","8.8","5.3","3.5","1.3",".","0.4",".",".",".",".",".","0.4",".",".","."
"Human Dev-Infancy&Childhood","320
001","115","3.674","60.9","21.7","11.3","3.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","321
001","104","3.364","24.0","44.2","21.2","4.8","2.9","1.0","1.0",".",".",".",".",".","1.0",".",".","."
"","321
002","102","3.653","59.8","22.5","7.8","6.9","1.0","1.0",".",".",".",".",".",".",".","1.0",".","."
"Human Develop-Adolescence","Course Total","206","3.507","41.7","33.5","14.6","5.8","1.9","1.0","0.5",".",".",".",".",".","0.5","0.5",".","."
"Mind, Brain and Education","326
001","104","3.236","26.9","33.7","20.2","11.5","1.9","4.8","1.0",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","91","3.683","57.1","28.6","6.6","5.5","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"","470
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
025","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
029","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","74","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","506
068","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Ethnography","551
001","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Supervision Practicum","632
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proactively Addressing Needs","633
001","14","3.607","64.3","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","16","3.932","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","13","3.815","76.9",".","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"","699
031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","42","3.923","90.5",".","7.1",".",".",".",".",".",".",".",".",".",".",".","2.4","."
"Seminar-Research in Ed Psyc II","710
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
005","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
009","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","36","3.957","86.1","11.1",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Theory & Issues-Human Dev","725
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnic/Racial Social Dev","726
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Design of Single-Case Research","743
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 95 of 423"
