"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","112","3.505","47.3","23.2","11.6","3.6","6.3","1.8",".","6.3",".","",".",".","",".","",".","",".",".","."
"SoHE Career & Leadership Dev","202
001","138","3.333","45.7","14.5","22.5","5.8","8.0","2.2","1.4",".",".","",".",".","",".","",".","",".",".","."
"Research Methods","793
001","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","815
001","14","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","815
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","815
003","16","3.875","93.8",".",".",".","6.3",".",".",".",".","",".",".","",".","",".","",".",".","."
"Prof Skills for Comm Leaders","Course Total","41","3.939","95.1","2.4",".",".","2.4",".",".",".","",".",".","",".","",".","",".",".",".","."
"Capstone Seminar","980
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","315","3.510","52.4","17.5","14.6","4.1","6.0","1.6","0.6","3.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","2.656","18.8","6.3","31.3",".","31.3","12.5",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","85","3.641","54.1","28.2","9.4","4.7","3.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","53","3.423","43.4","15.1","22.6","9.4","7.5","1.9",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","89","3.371","49.4","14.6","21.3","3.4","6.7","2.2","2.2",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","243","3.453","47.7","18.9","18.1","4.9","7.4","2.1","0.8",".","",".",".","",".","",".","",".",".",".","."
"Special","","7","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","65","3.760","75.4","13.8","3.1","1.5","1.5",".",".","4.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","315","3.510","52.4","17.5","14.6","4.1","6.0","1.6","0.6","3.2","",".",".","",".","",".","",".",".",".","."
