"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"","999
093","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1692","3.444","45.4","19.9","15.7","4.6","4.8","1.5","1.4","4.2","",".","0.1","",".","0.6","1.4","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.188","31.0","16.7","28.6","9.5","14.3",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","325","3.395","36.9","29.2","20.0","6.2","5.2","1.5","0.3",".","",".",".","",".",".","0.6",".",".","."
"Junior","","401","3.390","42.1","22.7","19.5","5.5","5.2","1.2","1.5",".","",".",".","",".",".","2.0",".",".","0.2"
"Senior","","543","3.320","41.6","22.1","16.6","5.5","6.4","2.6","2.2","1.3","",".",".","",".","0.2","1.5",".",".","."
"Undergraduates","","1311","3.356","40.3","23.9","18.7","5.8","6.0","1.8","1.4","0.5","",".",".","",".","0.1","1.4",".",".","0.1"
"Special","","90","3.551","37.8","8.9","13.3","1.1","1.1","1.1","1.1","28.9","",".","1.1","",".",".",".","1.1","4.4","."
"Graduate","","290","3.833","71.4","5.2","3.1","0.3","0.7",".","1.4","13.1","",".",".","",".","3.1","1.7",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1692","3.444","45.4","19.9","15.7","4.6","4.8","1.5","1.4","4.2","",".","0.1","",".","0.6","1.4","0.1","0.2","0.1"
