"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","9","3.313","22.2","33.3","11.1","22.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"","101
002","","17","3.469","47.1","23.5",".","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","101
003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","15","3.333","53.3","13.3","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","47","3.444","46.8","23.4","8.5","10.6","4.3",".","2.1","4.3",".",".",".",".",".",".",".","."
"","102
001","","21","3.714","71.4","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","18","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","19","3.526","63.2","21.1",".",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","102
004","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","10","3.550","40.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","83","3.663","63.9","24.1","1.2","4.8","4.8","1.2",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","201
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","14","3.393","42.9","35.7","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","203
003","","12","3.455","33.3","41.7",".","8.3","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Third Semester Italian","Course Total","","26","3.420","38.5","38.5","3.8","3.8","7.7","3.8",".",".",".",".",".",".","3.8",".",".","."
"Fourth Semester Italian","204
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Writing Workshop","312
001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Lit and Culture II","322
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
002","","7","3.250","42.9",".","14.3","14.3","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Intro to Romance Languages","429
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian Film","460
001","","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Il Romanzo Italiano","636
001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Directed Study","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
