"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Intro to Creative Writing","Course Total","","90","3.756","72.2","15.6","8.9",".","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Literature and Culture I","241
001","","88","3.235","23.9","28.4","26.1","10.2","6.8",".","1.1",".",".",".",".",".","1.1",".","2.3","."
"Literature and Culture II","242
001","","106","3.272","22.6","37.7","23.6","9.4",".","0.9","2.8","1.9",".",".",".",".","0.9",".",".","."
"","245
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
002","","15","3.133","13.3","20.0","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","245
003","","15","3.100","26.7","26.7","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"","245
004","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245
006","","17","3.676","76.5","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","","66","3.492","53.0","19.7","18.2","3.0","1.5","3.0","1.5",".",".",".",".",".",".",".",".","."
"","248
001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248
002","","15","3.233","26.7","26.7","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","Course Total","","29","3.414","34.5","31.0","27.6","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"","307
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","307
003","","14","3.714","71.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","77","3.882","81.8","11.7","3.9","1.3",".",".",".",".",".",".",".",".",".","1.3",".","."
"Structure of English","314
001","","25","3.700","76.0","8.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Language, Race, and Identity","319
001","","37","3.473","29.7","45.9","16.2","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Stage and Page in 18th Century","335
001","","23","3.630","47.8","39.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"18th-Century English Novel","336
001","","27","3.352","33.3","40.7","11.1","7.4","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit of Migration and Diaspora","375
001","","12","2.792","16.7","25.0","8.3","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"Advanced Composition","400
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","Course Total","","41","3.927","87.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","409
001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410
001","","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","411
001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Words: Grammar, Culture, Mind","413
001","","17","3.441","35.3","47.1",".","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","001
415","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","420
001","","25","3.640","72.0","8.0","4.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","427
001","","28","3.180","21.4","25.0","17.9","14.3","10.7",".",".","3.6",".",".",".",".",".",".","7.1","."
"Early Works of Shakespeare","431
001","","27","3.840","74.1","11.1","3.7","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"Later Works of Shakespeare","432
001","","28","3.571","35.7","57.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","454
001","","26","3.386","19.2","50.0",".","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Topic in 19th-Century Amer Lit","456
001","","19","3.444","42.1","15.8","21.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 222 of 423",""
