"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","2030","3.515","45.1","22.0","11.5","4.5","2.9","0.8","1.1","8.5","0.0",".","",".","0.6","1.0","0.6","1.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","122","3.369","34.4","30.3","23.8","3.3","4.1","2.5","0.8",".",".",".","",".",".","0.8",".",".","."
"Sophomore","","437","3.456","44.4","28.6","14.2","6.2","3.9","0.7","1.8",".",".",".","",".",".","0.2",".",".","."
"Junior","","433","3.542","51.0","26.1","11.5","5.1","3.9","0.5","1.2",".",".",".","",".",".","0.2","0.5",".","."
"Senior","","643","3.516","51.6","21.6","13.2","5.9","2.5","1.2","1.2","0.9","0.2",".","",".",".","1.4",".",".","0.2"
"Undergraduates","","1635","3.494","48.3","25.3","13.8","5.6","3.4","1.0","1.3","0.4","0.1",".","",".",".","0.7","0.1",".","0.1"
"Special","","212","3.513","11.8","10.4","3.3","0.5","0.9","0.5",".","57.5",".",".","",".",".",".","4.7","10.4","."
"Graduate","","182","3.878","54.9","5.5","0.5",".","0.5",".","0.5","24.7",".",".","",".","6.6","4.9",".","1.6","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2030","3.515","45.1","22.0","11.5","4.5","2.9","0.8","1.1","8.5","0.0",".","",".","0.6","1.0","0.6","1.2","0.0"
