"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","202
001","162","2.650","20.4","13.6","21.0","11.1","14.8","12.3","5.6",".",".",".",".",".","0.6",".","0.6","."
"","002
202","173","2.868","22.5","13.9","21.4","15.6","17.3","6.9","1.2","1.2",".",".",".",".",".",".",".","."
"","003
202","337","2.924","22.3","21.1","22.8","13.6","8.6","8.9","2.4","0.3",".",".",".",".",".",".",".","."
"","202
004","235","3.842","85.1","7.7","2.6","1.7","1.7",".","0.9",".",".",".",".",".","0.4",".",".","."
"","202
006","25","3.820","76.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","202
007","17","2.647","17.6","23.5","23.5","11.8","5.9",".","17.6",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","949","3.117","38.9","15.1","16.8","10.3","9.3","6.5","2.5","0.3",".",".",".",".","0.2",".","0.1","."
"","210
001","90","2.494","10.0","4.4","33.3","10.0","31.1","6.7","4.4",".",".",".",".",".",".",".",".","."
"","002
210","61","3.034","34.4","8.2","23.0","4.9","18.0","4.9","1.6",".","1.6",".",".",".","3.3",".",".","."
"","210
003","59","2.842","18.6","5.1","37.3","8.5","22.0","5.1",".",".",".",".",".",".","3.4",".",".","."
"","004
210","94","2.796","18.1","8.5","31.9","8.5","28.7",".","3.2",".",".",".",".",".","1.1",".",".","."
"Basic Stats for Psychology","Course Total","304","2.760","19.1","6.6","31.6","8.2","26.0","3.9","2.6",".","0.3",".",".",".","1.6",".",".","."
"","225
001","96","3.135","20.8","19.8","32.3","19.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"","225
002","94","3.606","56.4","19.1","17.0","4.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"Research Methods","Course Total","190","3.368","38.4","19.5","24.7","12.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Psych: Study Abroad","310
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Psychology","311
001","18","3.895","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","399
033","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abnormal Psychology","001
405","328","3.118","8.8","35.4","34.8","14.3","5.5","0.6","0.3","0.3",".",".",".",".",".",".",".","."
"","406
001","75","3.533","50.7","25.3","14.7","4.0","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","406
002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","88","3.614","56.8","22.7","12.5","3.4","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","428
001","174","3.086","31.6","23.6","14.4","9.8","13.2","5.7","1.7",".",".",".",".",".",".",".",".","."
"","428
002","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cultural Psychology","Course Total","189","3.146","33.9","22.8","15.3","9.0","12.2","5.3","1.6",".",".",".",".",".",".",".",".","."
"Primates and Us","450
001","279","3.281","28.0","20.8","36.9","5.4","4.7","1.8",".","1.1",".",".",".",".","0.7",".","0.7","."
"Human Sexuality","453
001","255","3.256","27.1","26.7","23.1","11.8","5.9","2.0",".","2.4",".",".",".",".","1.2",".",".","."
"","454
001","354","3.201","28.5","28.8","20.1","9.9","7.3","2.8","1.7","0.3",".",".",".",".",".",".","0.3","0.3"
"","454
002","24","3.500","33.3","45.8","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","378","3.226","28.8","29.9","19.6","9.5","7.1","2.6","1.6","0.3",".",".",".",".",".",".","0.3","0.3"
"Intro-Social Psychology","456
001","85","3.647","57.6","30.6","7.1","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"Child Development","460
001","189","2.947","21.2","18.0","28.0","12.7","11.6","6.3","1.6","0.5",".",".",".",".",".",".",".","."
"Depth Topic in Bio Science","505
001","57","3.209","26.3","26.3","17.5","14.0","12.3",".",".",".",".",".",".",".","3.5",".",".","."
"Hormones, Brain, and Behavior","513
001","98","3.366","34.7","29.6","16.3","10.2","8.2",".",".",".",".",".",".",".","1.0",".",".","."
"Cognition in Health and Societ","525
001","90","3.909","87.8","5.6","2.2","1.1","1.1",".",".",".",".",".",".",".","2.2",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","104","3.874","81.7","9.6","7.7",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Psych Effects of the Internet","532
001","132","3.754","75.8","12.9","3.0","6.1","0.8","1.5",".",".",".",".",".",".",".",".",".","."
"","601
001","24","3.739","66.7","20.8",".","4.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","601
002","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 303 of 423",""
