"FOREST AND WILDLIFE ECOLOGSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"248","001","","8","3.286","25.0","37.5",".","12.5","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"248","002","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","","22","3.571","36.4","50.0",".","4.5","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","10","2.950","40.0",".","30.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"305
Forest Operations","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","44","3.267","40.9","15.9","18.2","13.6","4.5","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"375","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","110","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","112","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","115","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","116","","18","3.794","77.8","5.6",".","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"375","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","118","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.886","93.2","1.7",".","3.4",".",".",".","1.7",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","39","2.961","23.1","17.9","30.8",".","17.9","5.1","2.6","2.6",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","20","3.600","60.0","30.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"411
Practices of Silviculture","001","","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","19","3.079","5.3","31.6","47.4","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"515
Natural Resources Policy","001","","17","3.250","11.8","29.4","47.1","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"520
Ornithology","001","","15","3.393","40.0","13.3","20.0","20.0",".",".",".","6.7",".",".",".",".",".",".",".","."
"521","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"531
Natural Resource Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","11","3.682","63.6","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","9","3.625","22.2","66.7",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"655
Animal Population Dynamics","001","","30","3.050","10.0","46.7","20.0","10.0","3.3","10.0",".",".",".",".",".",".",".",".",".","."
"675
Prof Develop-Forest/Wildlife","002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","Page 24 of 423"
