"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Textile Design","101","001","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals I","120","001","","53","2.971","22.6","32.1","13.2","7.5","13.2","3.8","5.7","1.9",".",".",".",".",".",".",".","."
"Intro to Interior Architecture","130","001","","74","3.632","54.1","28.4","5.4","5.4","4.1",".",".",".",".",".",".",".",".","2.7",".","."
"Fabric & Apparel Structures II","154","001","","26","3.731","57.7","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215","001","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220","001","","24","3.271","12.5","45.8","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","220","002","","23","3.435","17.4","60.9","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","220","003","","17","3.294","17.6","41.2","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","","Course Total","","64","3.336","15.6","50.0","23.4","7.8","3.1",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","17","3.471","58.8","11.8","17.6",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","17","3.735","76.5","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","003","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242","004","","15","3.733","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","","Course Total","","33","3.833","75.8","21.2",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","25","3.480","44.0","20.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","","64","3.695","67.2","17.2","6.3","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Design/Fashion Event Practicum","270","001","","30","3.733","83.3",".","13.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Independent Study","299","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design II","322","001","","33","3.652","54.5","27.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","48","3.667","43.8","35.4","4.2","2.1","2.1",".",".","4.2",".",".",".",".","8.3",".",".","."
"Hist of Arch. & Interiors II","422","001","","35","3.912","82.9","11.4","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"Textile Dsgn:Structural II","428","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","017","","34","3.382","32.4","35.3","23.5","5.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"","501","019","","21","3.238","9.5","52.4","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","501","020","","21","3.381","23.8","47.6","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","501","021","","21","3.310","23.8","23.8","47.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","97","3.335","23.7","39.2","27.8","3.1","5.2",".","1.0",".",".",".",".",".",".",".",".","."
"Wearable Technology","518","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Collection Development","519","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Artisans","527","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Creative Practice","529","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Event Management","570","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Interior Design IV","623","001","","33","3.076","12.1","45.5","18.2","6.1","15.2",".","3.0",".",".",".",".",".",".",".",".","."
