"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy I","125
001","24","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","490
001","18","3.889","88.9",".","11.1",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"","490
002","11","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Selected Topics in Pharmacy","Course Total","29","3.915","93.1",".","6.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Appropriate Use of Abused Drug","640
001","63","3.770","61.9","30.2","7.9",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"IP Public Health Leadership","758
001","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PHARMACY
726","Dept. Total","117","3.851","77.8","16.2","6.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","14","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","26","3.981","96.2","3.8",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","19","3.656","57.9","26.3","15.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","72","3.848","76.4","18.1","5.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","91","3.812","72.5","19.8","7.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","117","3.851","77.8","16.2","6.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
