"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001","","11","3.909","90.9",".","9.1",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"102
002","","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Foundations of US Air Force II","","23","3.957","95.7",".","4.3","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"202
001","","11","3.773","54.5","45.5",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"202
002","","18","3.861","88.9","5.6",".",".","","5.6","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Evolution of US Air & Space II","","29","3.828","75.9","20.7",".","",".","3.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"302
001
Leadership Studies II","","13","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"402
001
Preparation for Active Duty","","8","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
Dept. Total
102","","73","3.896","83.6","13.7","1.4","",".","1.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","17","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","23","3.845","73.9","21.7",".","",".","4.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","23","3.918","87.0","13.0",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","66","3.913","86.4","12.1",".","",".","1.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","7","3.727","57.1","28.6","14.3","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","73","3.896","83.6","13.7","1.4","",".","1.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
