"TERM : 1194","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2018-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GERMAN, NORDIC, AND SLAVIC Section","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Turkish","340
001
1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"Fourth Semester Turkish","440
001
2","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"Sixth Semester Kazakh","532
001
1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"Graduate Proseminar","700
001
4","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".   
."
"GNS
425","8
Dept. Total","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Undergraduates","1","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Graduate","7","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"","Dept. Total
8","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 238 of 423"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
