"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","256","3.279","23.8","37.9","21.9","9.4","4.3","2.3","0.4",".",".",".",".",".",".",".",".","."
"","300
002","230","3.283","23.9","34.8","25.2","10.4","3.9","1.3","0.4",".",".",".",".",".",".",".",".","."
"","300
003","118","3.165","16.9","33.9","29.7","11.0","5.1","3.4",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","604","3.258","22.5","35.9","24.7","10.1","4.3","2.2","0.3",".",".",".",".",".",".",".",".","."
"","305
001","35","3.300","37.1","14.3","34.3","5.7","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","305
002","41","3.305","31.7","14.6","39.0","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","305
003","46","3.424","41.3","19.6","28.3","4.3","6.5",".",".",".",".",".",".",".",".",".",".","."
"","305
004","44","3.432","45.5","20.5","22.7","2.3","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","166","3.370","39.2","17.5","30.7","6.0","5.4","1.2",".",".",".",".",".",".",".",".",".","."
"","310
001","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","35","3.443","28.6","31.4","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","38","3.408","26.3","28.9","44.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","92","3.440","29.3","29.3","41.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","48","3.677","58.3","33.3","4.2","2.1",".",".","2.1",".",".",".",".",".",".",".",".","."
"","355
002","48","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","49","3.755","59.2","34.7","4.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","145","3.697","55.9","35.2","4.8","3.4",".",".","0.7",".",".",".",".",".",".",".",".","."
"","365
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","38","3.816","65.8","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","27","2.980","14.8","14.8","33.3","11.1","18.5",".",".","7.4",".",".",".",".",".",".",".","."
"","365
004","13","2.962","23.1","15.4","23.1","7.7","30.8",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","89","3.448","48.3","20.2","14.6","4.5","10.1",".",".","2.2",".",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
117","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","35","3.586","51.4","25.7","14.3","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","415
002","37","3.730","51.4","43.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","72","3.660","51.4","34.7","9.7","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","22","3.591","22.7","72.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","24","3.771","66.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
001","36","3.586","52.8","25.0","16.7",".",".",".","2.8","2.8",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","52","3.462","42.3","25.0","25.0","5.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Analytics","450
001","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","47","3.415","29.8","36.2","23.4","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"","460
002","33","3.424","36.4","27.3","24.2","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","460
003","37","3.378","32.4","24.3","32.4","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","117","3.406","32.5","29.9","26.5","8.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"Strategic Retailing","640
001","12","3.042",".","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
030","52","3.683","46.2","46.2","5.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","66","3.697","48.5","43.9","6.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","25","3.771","52.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 61 of 423"
