"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4567","3.336","43.4","17.9","18.1","7.8","7.0","2.7","1.0","1.2","0.0",".","",".","0.3","0.5",".","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","319","2.711","19.1","13.2","23.8","13.2","16.6","9.1","4.1","0.3",".",".","",".",".","0.6",".",".","."
"Sophomore","","1046","3.182","36.0","16.8","21.2","10.7","10.2","3.4","1.2",".",".",".","",".",".","0.3",".",".","."
"Junior","","1135","3.253","35.1","21.4","22.7","8.8","7.6","3.0","1.0",".",".",".","",".",".","0.4",".",".","0.1"
"Senior","","1796","3.539","54.0","18.5","14.7","5.5","3.8","1.2","0.6","0.5","0.1",".","",".","0.2","0.8",".","0.1","."
"Undergraduates","","4296","3.321","42.0","18.5","19.1","8.2","7.3","2.8","1.1","0.2","0.0",".","",".","0.1","0.6",".","0.0","0.0"
"Special","","39","3.255","38.5","17.9","5.1","5.1","7.7","5.1",".","10.3",".",".","",".",".",".",".","10.3","."
"Graduate","","231","3.885","68.4","6.9","2.2","0.4",".",".",".","17.3",".","1.3","",".","3.5",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","4","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4570","3.336","43.3","17.9","18.1","7.8","7.0","2.7","1.0","1.2","0.0","0.1","",".","0.3","0.5",".","0.1","0.0"
