"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","160","3.056","21.3","25.6","16.3","18.1","18.1","0.6",".",".",".",".",".",".",".",".",".","."
"","300
002","226","3.176","28.3","20.8","23.0","16.8","8.8","1.3","0.4","0.4",".",".",".",".",".",".",".","."
"","300
003","89","2.989","16.9","19.1","34.8","12.4","13.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","475","3.100","23.8","22.1","22.9","16.4","12.8","1.3","0.4","0.2",".",".",".",".",".",".",".","."
"","305
001","25","3.260","36.0","4.0","48.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","20","2.921","15.0",".","50.0","15.0","15.0",".",".",".",".",".",".",".",".",".","5.0","."
"Finc Mrkts,Instns&Econ Actv","Course Total","45","3.114","26.7","2.2","48.9","6.7","13.3",".",".",".",".",".",".",".",".",".","2.2","."
"","320
001","56","3.295","28.6","21.4","35.7","8.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.288","25.4","22.0","44.1","5.1","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","320
003","57","3.254","28.1","21.1","31.6","12.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"","320
004","42","3.321","31.0","26.2","21.4","19.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","214","3.287","28.0","22.4","34.1","10.7","4.2","0.5",".",".",".",".",".",".",".",".",".","."
"","325
001","32","3.234","21.9","12.5","59.4","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","325
002","48","3.198","10.4","25.0","60.4","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","325
003","27","3.315","18.5","29.6","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","325
004","24","3.500","37.5","29.2","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","131","3.286","19.8","23.7","51.9","3.1","1.5",".",".",".",".",".",".",".",".",".",".","."
"","330
001","59","3.178","32.2","13.6","25.4","15.3","13.6",".",".",".",".",".",".",".",".",".",".","."
"","330
002","60","3.217","20.0","35.0","23.3","11.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
330","60","3.250","26.7","30.0","18.3","11.7","8.3","1.7",".","3.3",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","179","3.215","26.3","26.3","22.3","12.8","10.6","0.6",".","1.1",".",".",".",".",".",".",".","."
"Fixed Income Securities","340
001","28","3.339","35.7","21.4","25.0","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","17","3.382","35.3","17.6","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","12","3.583","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
008","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","49","3.553","55.1","14.3","22.4","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","72","3.415","34.7","22.2","31.9","9.7",".",".",".",".",".",".",".",".",".","1.4",".","."
"Investmt Bankg & Capital Mrkts","420
001","41","3.610","46.3","29.3","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","18","3.444","50.0","11.1","27.8",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","22","3.386","36.4","36.4","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","602
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wealth Mgmt&Financial Planning","Course Total","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
635","23","3.545","39.1","26.1","30.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","48","3.660","50.0","29.2","18.8",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
032","51","3.529","41.2","23.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
030","29","3.293","17.2","34.5","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","16","3.667","56.3","18.8","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
