"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","",".",".","66.7",".",".",".","."
"Prof Yr 3","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","14","4.000","14.3",".",".",".",".",".",".","71.4",".",".",".","14.3",".",".",".","."
