"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"246
SE Asian Refugees of Cold War","001","","11","3.227","54.5","9.1","18.2",".",".","18.2",".",".",".",".",".",".",".",".",".","."
"308
Introduction to Buddhism","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"355
Hinduism","001","","13","3.417","61.5",".","23.1",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"421
Survey of Tibetan Buddhism","001","","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"428
Visual Cultures of South Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"LCA
521","Dept. Total","","62","3.544","61.3","3.2","11.3",".","3.2","3.2","1.6","12.9",".",".",".",".",".",".","3.2","."
