"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","187","3.762","72.2","18.2","6.4","0.5","1.6",".","1.1",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Tech Aspects","341
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Information","351
001","","139","3.482","52.5","26.6","10.8","0.7","3.6","3.6","2.2",".",".",".",".",".",".",".",".","."
"","500
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
003","","20","3.368","30.0","30.0","30.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Code and Power","Course Total","","39","3.671","61.5","17.9","15.4",".",".","2.6",".","2.6",".",".",".",".",".",".",".","."
"","517
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
002","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Health","Course Total","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","601
002","","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","","23","3.818","73.9","13.0","4.3","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
"","603
001","","35","3.743","62.9","28.6","2.9","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","","58","3.793","67.2","27.6","1.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 2","612
001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","620
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicultural Lit for Youth","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","631
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","631
002","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit and Resources for Youth","Course Total","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","635
002","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
005","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
007","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","640
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
012","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","97","3.966","95.9","2.1",".",".",".",".","1.0",".",".",".",".",".","1.0",".",".","."
