"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"475","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","","4","***","","","","","","","","","","","","","","","",""
"479","001","","65","3.648","43.1","41.5","13.8",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"479","002","","60","3.833","83.3","10.0","3.3",".","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","","125","3.738","62.4","26.4","8.8",".","0.8","0.8",".","0.8",".",".",".",".",".",".",".","."
"525
Linear Programming Methods","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","50","3.479","36.0","24.0","28.0","6.0",".",".",".","6.0",".",".",".",".",".",".",".","."
"602","001","","49","3.704","49.0","42.9","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"602","002","","30","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods II","Course Total","","79","3.703","45.6","49.4","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Intro-Statistical Inference","001","","34","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Prof. Skills Data Science","001","","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Data Science Practicum","001","","41","3.902","80.5","19.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632","003","","16","3.219","18.8","31.3","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","23","3.152","17.4","26.1","39.1","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","29","3.732","58.6","24.1","13.8",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"679","003","","38","3.592","18.4","81.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","004","","48","3.646","31.3","66.7","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","005","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","","97","3.628","29.9","68.0","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","165","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.981","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Mathematical Statistics","001","","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Non Parametric Statistics","001","","37","3.784","62.2","32.4","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
