"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"489","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"505
Biofluidics","001","","19","2.763","31.6","15.8","15.8",".","15.8","15.8","5.3",".",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","33","3.922","84.8","9.1","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","36","3.771","63.9","22.2","11.1",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","10","3.722","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"545
Engr Extracellular Matrices","001","","40","3.550","52.5","20.0","15.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","23","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Diagnostic Ultrasound Imaging","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","008","","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","53","3.798","66.0","22.6","11.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","005","","17","3.550","52.9","29.4","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Biomed. Optics & Biophotonics","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"783
Design of Biological Molecules","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","21","",".",".",".",".",".",".",".","90.5",".",".",".","9.5",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 112 of 423",""
