"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","167","3.313","21.6","41.3","24.0","6.6","4.8","0.6","0.6",".",".",".",".",".",".","0.6",".","."
"Intro Earth System","120","001","70","3.188","24.3","15.7","38.6","12.9","7.1",".",".",".",".",".",".",".",".",".","1.4","."
"Intro People-Environment Geog","139","001","41","3.295","34.1","26.8","14.6","9.8","4.9","4.9",".","4.9",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","246","3.451","50.0","21.5","11.8","4.1","11.0","0.8","0.4","0.4",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","13","2.423","30.8","7.7","7.7","15.4","7.7","15.4","15.4",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to the City","305","001","69","3.409","21.7","52.2","14.5","2.9","2.9",".","1.4","2.9",".",".",".",".",".",".","1.4","."
"Intl Migrat, Health & Rights","307","001","20","3.105","45.0","15.0","10.0","5.0","5.0","10.0","5.0",".",".",".",".",".","5.0",".",".","."
"Introduction to Geopolitics","318","001","39","3.622","51.3","20.5","17.9","5.1",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"Geomorphology","320","001","19","3.306","36.8","21.1","15.8","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","33","3.364","15.2","30.3","9.1","12.1",".",".",".","30.3",".",".",".",".","3.0",".",".","."
"Environmental Conservation","339","001","63","3.161","20.6","17.5","39.7","9.5","3.2","3.2",".","1.6",".",".",".",".","3.2",".",".","1.6"
"World Regions in Global Contxt","340","001","178","3.421","53.4","16.3","13.5","1.1","5.1","2.8","3.4","0.6",".",".",".",".","3.9",".",".","."
"Geography of Wisconsin","342","001","173","3.170","38.7","15.6","18.5","6.4","8.7","4.0","3.5","4.0",".",".",".",".","0.6",".",".","."
"Native North Amer Nat Res Mgmt","345","001","11","3.563","36.4","18.2","9.1","9.1",".",".",".","27.3",".",".",".",".",".",".",".","."
"Geography of Southeast Asia","358","001","13","3.450","30.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".","7.7",".","15.4","."
"","370","001","39","3.639","56.4","20.5","12.8",".",".",".","2.6","2.6",".",".",".",".","5.1",".",".","."
"","370","070","11","3.455","72.7",".","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","","Course Total","50","3.596","60.0","16.0","14.0",".",".",".","4.0","2.0",".",".",".",".","4.0",".",".","."
"","377","001","42","3.214","35.7","7.1","33.3","16.7","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","377","070","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","47","3.298","42.6","6.4","29.8","14.9","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","378","070","29","3.345","55.2","10.3","20.7","3.4","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","14","3.308","14.3","42.9","28.6",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Topics in Geography","475","002","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Economic Geography","510","001","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Transforming Earth Systems","526","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","17","3.559","52.9","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","070","23","3.833","73.9","4.3","13.0",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Spatial Database","574","070","31","3.839","93.5",".","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","575","001","30","3.603","53.3","16.7","20.0","6.7",".",".",".",".",".",".",".",".","3.3",".",".","."
"","575","070","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","","Course Total","57","3.759","73.7","8.8","10.5","3.5","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Spatial Web/Mobile Programming","576","070","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
