"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","4.000","92.9",".",".",".",".",".",".",".",".",".",".","3.6",".",".","3.6","."
"774
Metab Respns-Exercis&Stress","001","","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"861
Prin-Motor Control&Learning","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"951
Seminar-Biomechanics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Human Biodynamics Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Smr-Phys Activity Epidemiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","24","",".",".",".",".",".",".",".","91.7",".",".",".","4.2",".",".","4.2","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
