"699","113
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","114
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total
48","3.977","89.6","4.2","",".",".","",".","",".","",".","",".","",".",".",".",".","4.2",".","2.1","."
"919
Individualized 4th Yr Clerk","041
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","49
Dept. Total","3.978","89.8","4.1","",".",".","",".","",".","",".","",".","",".",".",".",".","4.1",".","2.0","."
"Summary by Level","#","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","17","3.962","88.2","5.9","",".",".","",".","",".","",".","",".","",".",".",".",".","5.9",".",".","."
"Senior","27","3.984","88.9","3.7","",".",".","",".","",".","",".","",".","",".",".",".",".","3.7",".","3.7","."
"Undergraduates","47","3.977","89.4","4.3","",".",".","",".","",".","",".","",".","",".",".",".",".","4.3",".","2.1","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
49","3.978","89.8","4.1","",".",".","",".","",".","",".","",".","",".",".",".",".","4.1",".","2.0","."
