"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","102","3.059","12.7","24.5","37.3","14.7","9.8","1.0",".",".",".",".",".",".",".",".",".","."
"","300
002","115","3.139","27.0","18.3","27.8","13.0","12.2","1.7",".",".",".",".",".",".",".",".",".","."
"","300
003","98","2.990","18.4","18.4","30.6","12.2","19.4",".","1.0",".",".",".",".",".",".",".",".","."
"","300
004","92","2.875","15.2","17.4","26.1","16.3","22.8","1.1","1.1",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","407","3.023","18.7","19.7","30.5","14.0","15.7","1.0","0.5",".",".",".",".",".",".",".",".","."
"","365
001","18","3.528","50.0","38.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","365
002","33","3.394","27.3","60.6","6.1",".",".",".","6.1",".",".",".",".",".",".",".",".","."
"","365
003","25","3.580","24.0","68.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","76","3.487","31.6","57.9","6.6",".",".",".","3.9",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","17","3.588","52.9","35.3","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","451
001","37","3.500","32.4","40.5","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","451
002","34","3.265","32.4","29.4","17.6","11.8","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","Course Total","71","3.387","32.4","35.2","19.7","8.5","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","700
030","44","3.636","54.5","20.5","22.7","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Analytics","714
001","54","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
030","43","3.547","41.9","30.2","23.3","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","25","3.700","56.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
001","21","3.667","38.1","57.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","42","3.500","31.0","38.1","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","39","3.628","41.0","46.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","35","3.914","82.9","17.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","116","3.668","50.0","34.5","14.7","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
126","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","",""
