"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","7","1.143","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
101","45","1.222","13.3",".","17.8",".","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"","715
102","51","1.176","13.7",".","19.6",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","715
105","48","1.292","14.6",".","20.8",".","2.1","4.2",".",".",".",".",".",".",".",".",".","."
"","715
106","50","0.860","2.0",".","26.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
107","43","0.674","4.7",".","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","237","1.051","9.7",".","20.3",".","2.1","1.3",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","14","1.357","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".","7.1",".",".","."
"","723
001","24","1.250",".",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","23","1.609","8.7",".","39.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","723
003","23","1.609","4.3",".","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","23","1.087",".",".","30.4",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","723
005","22","0.818",".",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","22","0.636",".",".","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","723
007","24","0.792","4.2",".","16.7",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","008
723","23","1.261",".",".","39.1",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","723
009","23","1.783",".",".","56.5",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","723
010","23","1.609","4.3",".","47.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","23","1.261","8.7",".","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","20","1.300","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","273","1.253","3.3",".","35.5",".","2.6","0.4","0.4",".",".",".",".",".",".",".",".","."
"","724
101","89","1.449","11.2",".","30.3",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","724
102","100","1.320","11.0",".","28.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","724
103","96","1.479","6.3",".","37.5",".","5.2",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","285","1.414","9.5",".","31.9",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"","725
001","73","1.174","12.3","1.4","12.3",".","12.3",".",".","1.4",".",".",".",".",".",".",".","."
"","725
002","73","1.486","5.5",".","39.7",".","2.7",".",".",".",".",".",".",".",".",".","1.4","."
"Intro to Criminal Procedure","Course Total","146","1.330","8.9","0.7","26.0",".","7.5",".",".","0.7",".",".",".",".",".",".","0.7","."
"","731
001","65","0.629","6.2",".","1.5",".","15.4",".",".","3.1",".",".",".",".",".",".","1.5","."
"","731
002","45","1.015","6.7",".","22.2",".","2.2",".",".","4.4",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","110","0.788","6.4",".","10.0",".","10.0",".",".","3.6",".",".",".",".",".",".","0.9","."
"Constitutional Law II","740
001","65","1.167","12.3",".","13.8",".","3.1",".",".","15.4",".",".",".",".",".",".","1.5","."
"","743
001","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"","743
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","19","",".",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","5.3"
"Administrative Law","744
001","25","1.636","16.0",".","24.0",".","4.0",".",".","8.0",".",".",".",".",".",".","4.0","."
"Equal Employment Law","765
001","18","1.765","33.3",".","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","771
001","64","1.426","14.1",".","17.2",".","6.3",".",".","14.1",".",".",".",".",".",".","1.6","."
"","771
002","11","0.636","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","75","1.353","13.3",".","16.0",".","5.3",".",".","12.0",".",".",".",".",".",".","1.3","."
"Use of Trusts-Estate Planning","772
001","11","1.091","9.1",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Evidence","801
001","61","1.692","18.0",".","21.3",".","3.3","1.6",".","14.8",".",".",".",".",".",".",".","."
