"L&S","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"Second Semester Greek","104
001","","8","3.571","50.0","12.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intermediate Greek","306
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Homer","510
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GREEK
428","Dept. Total","","23","3.695","52.2","17.4","8.7","4.3",".",".",".","17.4",".",".",".",".",".",".",".","."
