"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","150","3.825","58.0","3.3","7.3","0.7","",".","",".","",".","27.3","",".",".","",".","2.7","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","6","3.917","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","54","3.852","85.2","1.9","11.1","1.9","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","63","3.861","85.7","3.2","9.5","1.6","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","85","3.740","38.8","3.5","5.9",".","",".","",".","",".","47.1","",".",".","",".","4.7","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","",".","",".",".","",".",".","50.0","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".",".","",".",".","50.0","."
"","Dept. Total","150","3.825","58.0","3.3","7.3","0.7","",".","",".","",".","27.3","",".",".","",".","2.7","",".",".","0.7","."
