"TERM : 1194","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2018-2019","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCANDINAVIAN STUDIES","Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCAND ST
872","Dept. Total","141","3.810","70.9","14.9","5.0","",".","2.1","",".","",".","5.0","",".",".","",".","",".","2.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.467","50.0","25.0",".","",".","25.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","22","3.868","77.3","13.6","4.5","",".",".","",".","",".",".","",".",".","",".","",".","4.5",".",".","."
"Junior","","21","3.836","76.2","19.0","4.8","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","57","3.785","71.9","19.3","7.0","",".","1.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","108","3.786","72.2","18.5","5.6","",".","2.8","",".","",".",".","",".",".","",".","",".","0.9",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","29","3.952","69.0",".","3.4","",".",".","",".","",".","20.7","",".",".","",".","",".","6.9",".",".","."
"","Dept. Total","141","3.810","70.9","14.9","5.0","",".","2.1","",".","",".","5.0","",".",".","",".","",".","2.1",".",".","."
