"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
BME Fundamentals & Design","001","","124","3.862","76.6","17.7","4.8",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"301
Biomedical Engineering Design","001","","66","3.735","63.6","19.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","126","3.714","52.4","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Biomechanics","001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","6","2.750","16.7","16.7","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"399","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","083","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","127","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","142","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","143","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","145","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","146","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","149","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","94","3.981","97.9",".",".",".","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"402
Biomedical Engineering Design","001","","100","3.870","81.0","12.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","106","3.205","16.0","24.5","45.3","12.3",".","0.9",".",".",".",".",".",".","0.9",".",".","."
"463
Computers in Medicine","001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 111 of 423",""
