"ENGR PROFESSIONAL DEVELOPSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","690
014","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
015","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","96","3.862","88.5","7.3","3.1",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Professional Presentations","702
001","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Communication","704
001","31","3.774","71.0","25.8",".",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"Change Management","706
001","17","3.735","88.2","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Marketing for Non-Marketers","782
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E P D
348","Dept. Total","766","3.563","49.9","30.2","14.2","2.7","0.9","0.7","0.5",".",".",".",".",".","0.9",".",".","."
