"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"354
Women&Gender in US Since 1870","001","","18","3.233","11.1","33.3","22.2","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"355
Labor in Americas: US & Mexico","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"412
History-American Education","001","","39","3.513","38.5","38.5","12.8",".","7.7",".",".",".",".",".",".",".",".","2.6",".","."
"428
US Military History Since 1899","001","","63","3.802","73.0","6.3","7.9","4.8",".",".",".",".",".",".",".",".",".",".","7.9","."
"432
History-Scand Since 1815","001","","12","3.542","66.7","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"465
Global Environmental History","001","","30","3.389","6.7","40.0","6.7","6.7",".",".",".","40.0",".",".",".",".",".",".",".","."
"477
History of Forensic Science","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Reading Seminar in History","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"505","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"505","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History at Work","Course Total","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"506
History Internship Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Legal Pluralism","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Holocaust: Hist, Memory & Educ","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"518
Anti-Semitism-European Culture","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
History Medicine-Latin America","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"600","004","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","005","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","007","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","008","","8","4.000","75.0",".",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"600","009","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Seminar in History","Course Total","","75","3.819","69.3","18.7","8.0",".",".",".",".","1.3",".",".",".",".","2.7",".",".","."
"601
Historical Publishing","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Cap, Soc, Democ-Am 1890 on","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
