"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Physiology","335
001","404","2.752","20.8","11.9","26.0","7.7","22.5","6.2","4.2","0.7",".",".",".",".",".",".",".","."
"","337
001","149","3.084","29.5","24.8","14.1","10.7","13.4","5.4","1.3","0.7",".",".",".",".",".",".",".","."
"","337
002","168","3.257","36.9","25.0","14.3","8.3","10.7","3.6","0.6","0.6",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","317","3.176","33.4","24.9","14.2","9.5","12.0","4.4","0.9","0.6",".",".",".",".",".",".",".","."
"","338
001","24","3.063","25.0","20.8","25.0","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","338
002","25","3.140","20.0","32.0","16.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","338
003","25","3.200","44.0","12.0","4.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","338
004","22","3.114","31.8","27.3","13.6","4.5","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","338
005","22","3.159","27.3","31.8","9.1","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","338
006","24","3.188","25.0","29.2","16.7","16.7","12.5",".",".",".",".",".",".",".",".",".",".","."
"","338
007","21","2.857","23.8","14.3","14.3","14.3","28.6","4.8",".",".",".",".",".",".",".",".",".","."
"","338
008","21","3.286","28.6","38.1","9.5","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","184","3.128","28.3","25.5","13.6","15.2","14.1","3.3",".",".",".",".",".",".",".",".",".","."
"Fund of Human Physiology","001
435","122","2.941","33.6","10.7","19.7","9.0","10.7","9.8","3.3",".",".",".",".",".","1.6","1.6",".","."
"ANAT&PHY
146","Dept. Total","1027","2.918","27.6","18.2","19.4","9.7","16.4","5.6","2.3","0.5",".",".",".",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Sophomore","","67","2.069","4.5","7.5","22.4","4.5","35.8","13.4","11.9",".",".",".",".",".",".",".",".","."
"Junior","","296","2.893","24.7","17.2","23.6","10.5","15.9","6.4","1.7",".",".",".",".",".",".",".",".","."
"Senior","","626","3.028","31.2","19.2","17.7","10.2","15.0","4.5","1.6","0.3",".",".",".",".","0.3",".",".","."
"Undergraduates","","989","2.909","27.4","17.8","19.8","9.9","16.7","5.7","2.3","0.2",".",".",".",".","0.2",".",".","."
"Special","","26","3.169","38.5","30.8","7.7","3.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".","."
"Graduate","","12","3.442","16.7","25.0","8.3","8.3",".",".",".","25.0",".",".",".",".",".","16.7",".","."
"","Dept. Total","1027","2.918","27.6","18.2","19.4","9.7","16.4","5.6","2.3","0.5",".",".",".",".","0.2","0.2",".","."
