"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","152","2.684","18.4","7.9","32.2","9.2","19.1","9.2","3.9",".",".",".",".",".",".",".",".","."
"","002
101","178","2.478","17.4","5.1","25.8","8.4","25.8","10.1","7.3",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","330","2.573","17.9","6.4","28.8","8.8","22.7","9.7","5.8",".",".",".",".",".",".",".",".","."
"","102
001","12","3.292","33.3","25.0","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","102
002","6","3.083","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.227","45.5",".","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
004","7","3.071",".","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","11","3.455","63.6",".","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
006","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","8","3.313","37.5",".","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","14","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","11","3.091","27.3",".","54.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
012","6","3.167","33.3","33.3",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","9","3.000","11.1","33.3","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","2.813","25.0",".","37.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","102
015","6","2.500","16.7",".","33.3",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","102
016","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","8","2.938",".",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","10","3.100","30.0","10.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
019","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","7","3.333","42.9",".","28.6",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"Animal Biology Laboratory","Course Total","175","3.227","32.6","14.9","33.1","7.4","9.1","2.3",".",".",".",".",".",".",".","0.6",".","."
"General Botany","130
001","14","3.071","28.6","7.1","50.0","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","286","2.591","13.3","8.0","29.0","8.7","30.8","7.3","2.8",".",".",".",".",".",".",".",".","."
"","152
001","198","3.187","30.3","12.6","40.4","5.6","7.6","3.0","0.5",".",".",".",".",".",".",".",".","."
"","152
002","224","3.283","34.8","11.6","40.2","7.6","4.0","0.9","0.9",".",".",".",".",".",".",".",".","."
"","152
003","16","3.531","43.8","25.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","21","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
005","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","006
152","16","3.367","31.3","6.3","56.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","152
007","18","3.676","61.1","5.6","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","152
008","14","3.536","57.1","7.1","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","152
009","18","3.500","38.9","22.2","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
010","17","3.471","58.8","11.8","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","152
011","18","3.389","33.3","22.2","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","574","3.304","35.4","13.9","38.5","5.2","4.5","1.4","0.7",".",".",".",".",".","0.3",".",".","."
"Evolution Seminar Series UG","522
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
