"EGR","","","","","","","","","","","","","","","","","","","","","",""
"MATERIALS SCI AND ENGINEERI Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","","",""
"M S & E
Dept. Total
636","740","3.565","41.4","23.9","11.1","4.5","2.7","",".","",".","9.5","",".","4.5","",".","1.9","0.5",".",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","26","3.625","61.5","19.2","7.7","7.7","3.8","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","132","3.547","43.9","34.8","14.4","3.0","3.8","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","349","3.526","45.8","29.5","13.8","6.9","4.0","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","507","3.536","46.2","30.4","13.6","5.9","3.9","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","233","3.709","30.9","9.9","5.6","1.3",".","",".","",".","30.0","",".","14.2","",".","6.0","1.7",".",".","0.4"
"Dept. Total","740","3.565","41.4","23.9","11.1","4.5","2.7","",".","",".","9.5","",".","4.5","",".","1.9","0.5",".",".","0.1"
