"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","630
009","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
014","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev School & Community","Course Total","","45","4.000","91.1",".",".",".",".",".",".",".",".",".",".",".",".",".","8.9","."
"","674
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
002","","23","3.870","87.0",".","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Methods in Teaching ESL","Course Total","","53","3.943","94.3",".","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech Integration Teach & Learn","713
001","","54","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Research & Eval Paradigms","714
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"School Practicum in CS&D","720
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life History:Theories & Methds","723
001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Internationalizing Ed Knowldg","727
002","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Project or Thesis","Course Total","","8","4.000","50.0",".",".",".",".",".",".","37.5",".",".",".",".","12.5",".",".","."
"","799
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Ind. Study","Course Total","","13","3.952","76.9",".","7.7",".",".",".",".",".",".",".",".",".",".",".","15.4","."
"Constructionism","821
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Culturally Relevnt Pedagogy","844
001","","16","3.929","81.3",".","6.3",".",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"Spec Topics:Rsch&Eval-C&I","916
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Language Education","964
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","975
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","975
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","975
004","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","975
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","975
007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
