"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","13","3.330","38.5","30.8","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Senior","","15","3.615","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","34","3.393","47.1","26.5","8.8","2.9","14.7",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","15","3.914","60.0","13.3",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
