"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","15","3.400","46.7","33.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Soc Behav Aspects","001","","133","3.786","64.7","27.8","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"514
Pharmacy Management","001","","138","3.554","40.6","36.2","17.4","5.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"618
Prof Decision-Making/Phm Pract","001","","141","3.922","85.8","12.8","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","137","3.755","55.5","40.1","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Research Seminar in SAS","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"999
Advanced Independent Study","081","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
