"BIOSTATISTICS & MED INFORMA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"542
Intro to Clinical Trials I","003","","28","3.538","21.4","60.7","7.1","3.6",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"552
Regression Methods-Pop Health","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Medical Image Analysis","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Adv Regression Mthds-Pop Hlth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"826","038","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","20","3.960","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"877
Statistical Methods-Molec Biol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"915
Computn&Informatcs in Biol&Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
