"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"701","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar","Course Total","","9","3.200","44.4",".",".",".",".",".","11.1","44.4",".",".",".",".",".",".",".","."
"799
Directed Study","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Seminar: Epistemology","001","","9","3.700","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"951
Seminar-Philosophy of Mind","001","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"955
Soc-Pol Phil","001","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"960
Metaphysics Seminar","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","93.8",".",".",".","6.3",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
