"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"","102
001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","16","3.781","68.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","18","3.694","50.0","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","Course Total","","40","3.688","52.5","37.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Polish","112
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semester Serbo-Croatian","142
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav102","182
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","204
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","204
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Russian","Course Total","","9","3.500","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Czech","218
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit & Culture-Eastrn Europe","242
001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","245
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253
001","","22","3.107","27.3",".","13.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".","36.4","."
"","276
001","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","276
002","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian II","Course Total","","16","3.625","50.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Lang & Culture II","316
001","","14","3.393","42.9","28.6","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322
001","","10","3.450","50.0","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama for Teaching & Learning","362
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gogol","421
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tolstoy","424
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Russian Culture","434
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Slavic&E European Folklore","444
001","","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Hist lit polsk po roku 1863","472
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
021","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"18th Century Russian Lit","702
001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","705
001","","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","799
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"College Teaching of Russian","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","900
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 315 of 423",""
