"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Numerical Linear Algebra","513","001","","54","3.135","29.6","18.5","14.8","14.8","18.5",".",".",".",".",".",".",".",".","3.7",".","."
"Ordinary Differentl Equations","519","001","","17","3.094","35.3","17.6","23.5",".",".","17.6",".",".",".",".",".",".",".","5.9",".","."
"","521","001","","35","2.824","25.7","17.1","17.1","17.1",".","17.1","2.9",".",".",".",".",".",".",".",".","2.9"
"","521","002","","31","2.710","22.6","9.7","16.1","29.0","6.5","12.9","3.2",".",".",".",".",".",".",".",".","."
"","521","003","","35","3.443","37.1","22.9","34.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","521","004","","31","3.081","29.0","12.9","29.0","9.7","16.1","3.2",".",".",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","132","3.023","28.8","15.9","24.2","14.4","6.1","8.3","1.5",".",".",".",".",".",".",".",".","0.8"
"Analysis II","522","001","","32","2.887","28.1","21.9","9.4","12.5","9.4","12.5","3.1",".",".",".",".",".","3.1",".",".","."
"Linear Programming Methods","525","001","","29","2.741","10.3","17.2","31.0","20.7","10.3","6.9","3.4",".",".",".",".",".",".",".",".","."
"Probability Theory","531","001","","43","2.798","34.9","2.3","16.3","14.0","14.0","14.0","2.3","2.3",".",".",".",".",".",".",".","."
"Linear Algebra II","540","001","","12","3.458","16.7","66.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","541","001","","31","2.806","22.6","19.4","16.1","12.9","16.1","9.7","3.2",".",".",".",".",".",".",".",".","."
"","541","002","","27","2.615","22.2","22.2","7.4","7.4","11.1","22.2","3.7",".",".",".",".",".",".",".",".","3.7"
"Modern Algebra","","Course Total","","58","2.719","22.4","20.7","12.1","10.3","13.8","15.5","3.4",".",".",".",".",".",".",".",".","1.7"
"Modern Algebra","542","001","","28","3.500","50.0","17.9","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","27","3.426","59.3","7.4","11.1","11.1","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Elem Geom & Alg Topology","552","001","","16","3.781","87.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","26","2.462","19.2","19.2","7.7","19.2","7.7","15.4","11.5",".",".",".",".",".",".",".",".","."
"Analysis of PDE","619","001","","32","3.656","53.1","31.3","12.5",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","24","3.370","50.0","8.3","8.3","20.8","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"","632","001","","38","2.946","28.9","15.8","23.7","5.3","10.5","10.5","2.6",".",".",".",".",".",".","2.6",".","."
"","632","002","","50","3.160","40.0","6.0","28.0","6.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"","632","003","","47","3.053","38.3","4.3","19.1","6.4","31.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","135","3.063","36.3","8.1","23.7","5.9","20.0","4.4","0.7",".",".",".",".",".",".","0.7",".","."
"","682","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","153","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","157","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","172","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","3.957","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","44","3.932","93.2","4.5",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","14","3.464","50.0","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","17","3.813","76.5","5.9","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Integer Optimization","728","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization II","730","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
