"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","801
202","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
203","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","170","3.948","91.8","5.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","37","3.946","94.6","2.7",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","31","3.694","41.9","54.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","30","3.583","30.0","63.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
011","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
012","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
020","25","3.780","60.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","142","3.732","52.8","42.3","3.5","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","842
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","842
030","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","22","3.795","72.7","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","870
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessing and Treating Adults","Course Total","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","924
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
010","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
011","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
020","13","3.538","38.5","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Abuse","Course Total","68","3.831","73.5","22.1","1.5","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","951
001","10","3.778","50.0","40.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"PhD Proseminar","952
001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
