"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","49","3.177","20.4","24.5","32.7","14.3","4.1","2.0",".",".",".",".",".",".",".","2.0",".","."
"Environment&Global Economy","244","001","","49","3.032","22.4","18.4","26.5","8.2","16.3","4.1",".",".",".",".",".",".",".",".","2.0","2.0"
"Independent Study","299","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Commodity Markets","322","001","","49","2.625","22.4","20.4","10.2","8.2","16.3","12.2","8.2",".",".",".",".",".","2.0",".",".","."
"Environmental Economics","343","001","","13","2.640","7.7","7.7","38.5","7.7","23.1","7.7",".","7.7",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","99","3.459","35.4","36.4","18.2","5.1","1.0","1.0","1.0",".",".",".",".",".","2.0",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","002","","18","3.444","38.9","27.8","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","13","3.625","53.8","23.1",".","15.4",".",".",".",".",".",".",".",".","7.7",".",".","."
"Econ Probs-Developing Areas","474","001","","29","3.690","51.7","34.5","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","","53","3.913","88.7","1.9","7.5",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Community Economic Analysis","520","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Natural Resource Economics","531","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Agricultural Economics","641","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Development Economics","642","001","","10","3.667","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Fndtns Environ/Resource Econ","643","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Applied Risk Analysis","706","001","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Quant & Applied Econ","720","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Economics 1","730","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir & Resource Econ 1","760","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Econometrics Res/Energy Demand","772","001","","28","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sem Res/Energy Demand Analysis","773","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Res/Energy Demand I","774","001","","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Res/Energy Demand II","776","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium","780","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","5","***","","","","","","","","","",".",".",".",".",".",".","."
