"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","157","3.542","51.6","28.7","10.2","3.8","2.5",".","2.5","0.6",".",".",".",".",".",".",".","."
"","299
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"","323
001","81","3.080","2.5","32.1","49.4","11.1","4.9",".",".",".",".",".",".",".",".",".",".","."
"","323
002","81","3.136","3.7","43.2","37.0","11.1","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","Course Total","162","3.108","3.1","37.7","43.2","11.1","4.3","0.6",".",".",".",".",".",".",".",".",".","."
"","324
001","81","3.858","76.5","18.5","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","81","3.840","69.1","29.6","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","162","3.849","72.8","24.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","81","3.784","64.2","28.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","81","3.840","76.5","18.5","2.5","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Hlth Care Stgs","Course Total","162","3.812","70.4","23.5","4.9","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
001","162","",".",".",".",".",".",".",".",".",".",".",".","99.4",".",".","0.6","."
"Hlt Ill Indiv Fam Exp Lrng II","327
001","161","",".",".",".",".",".",".",".",".",".","98.8",".",".",".",".",".","."
"","436
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
003","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","437
001","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, & Econ","Course Total","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
001","76","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
002","75","3.687","42.7","52.0","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
003","32","3.406","3.1","78.1","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","183","3.637","35.5","56.8","7.1","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"","444
001","66","3.924","84.8","15.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","444
002","68","3.882","80.9","16.2","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, Econ, & Rsrch","Course Total","134","3.903","82.8","15.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","76","3.980","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","75","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transformative Nrsg Capstone","Course Total","151","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
006","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
007","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
008","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
009","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
011","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
012","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
