"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","050","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","052","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","64","3.984","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Org&Admin-Ath Training Prgm","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Fitness Test & Exer Prescript","001","","34","3.515","41.2","35.3","11.8","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"450","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"457
Med Probs-Exercise & Sports","001","","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Seminar-Athletic Training","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"508","002","","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","Course Total","","24","3.917","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"516
Phys Act for Diverse Abilities","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Physical Activity & Health","001","","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"523
Clinic Exercise Test&Train","001","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","25","3.540","52.0","16.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"531
Neural Control of Movement","001","","45","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568
Stdt Tchg-Health Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Biol Factors-Exercise Perf","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Internship in Kinesiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
