"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","5","***","","","","","","","","","","","","",".",".",".",".",".","20.0","."
"Senior","15","4.000","93.3",".",".","",".",".","",".","",".","6.7",".",".",".",".",".",".",".","."
"Undergraduates","22","4.000","90.9",".",".","",".",".","",".","",".","4.5",".",".",".",".",".",".","4.5","."
"Special","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","101","3.684","29.7","9.9","5.0","",".","1.0","",".","",".","39.6","1.0",".",".","5.0",".",".","8.9","."
"Prof Yr 2","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
129","3.795","39.5","7.8","3.9","",".","0.8","",".","",".","35.7","0.8",".",".","3.9",".",".","7.8","."
