"INTEGRATED SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","",""
"150","001","","15","3.633","86.7",".",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"150","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring Research in Science","Course Total","","31","3.823","93.5",".",".","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"230
Explrn Leadership Mentoring","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"240
Service with Youth in STEM","003","","27","3.846","77.8","14.8",".",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"299
Independent Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Internship","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"341","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"341","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"341","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service in STEM Practicum","Course Total","","5","***","","","","","","","","","","","","","","","",""
"375
Special Topics","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
College Science Teaching","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"660","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"660","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Mentor Training","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"675
Special Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTEGSCI
503","Dept. Total","","135","3.928","84.4","3.0",".","0.7","0.7",".","0.7","4.4",".","5.2",".",".","0.7",".",".","."
