"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","6","3.333","16.7","50.0","16.7","16.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","23","3.609","52.2","26.1","17.4",".","4.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","32","3.813","75.0","18.8",".","6.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","65","3.662","56.9","26.2","10.8","4.6","1.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","9","3.917","55.6","11.1",".",".",".","",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","246","3.860","73.6","19.5","3.7",".",".","",".","",".","2.8","",".",".","",".","",".","0.4",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","15","3.965","93.3","6.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","22","3.951","86.4","9.1",".",".",".","",".","",".","4.5","",".",".","",".","",".",".",".",".","."
