"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","14","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","26","3.981","96.2","3.8",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","19","3.656","57.9","26.3","15.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","72","3.848","76.4","18.1","5.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","91","3.812","72.5","19.8","7.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
