"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"615","001","","19","3.211","36.8","10.5","42.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"615","003","","16","3.500","31.3","37.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","Course Total","","35","3.343","34.3","22.9","37.1",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"620
Simulation Modeling & Analysis","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","4.000","89.5",".",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"728
Integer Optimization","001","","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"729
Bhv Anal-Mgt Decisn Making","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Nonlinear Optimization II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"823
Topics-Operations Research","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"859
Topics-Human Factors Engr","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
