"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Advanced Financial Reporting","Course Total","","40","3.313","27.5","12.5","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","85","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","85","3.841","75.3","17.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","37","3.338","27.0","29.7","29.7","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","34","3.456","29.4","35.3","32.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","71","3.394","28.2","32.4","31.0","7.0","1.4",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","","23","3.370","30.4","26.1","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","24","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","21","3.643","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","","45","3.544","42.2","24.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","8","3.188","25.0",".","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","9","3.167","22.2",".","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","19","3.579","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","34","3.574","41.2","35.3","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
031","","51","3.902","80.4","19.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","25","3.600","32.0","56.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Corporate Taxation","726
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","","36","3.889","80.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
003","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assurance Services","Course Total","","54","3.898","83.3","13.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","33","3.697","42.4","54.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","","27","3.981","92.6","3.7",".",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","69","3.834","68.1","29.0","1.4",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"","771
001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","","34","3.897","82.4","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","24","3.563","41.7","37.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
086","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
