"ENGR PROFESSIONAL DEVELOPSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","275
001","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","60","3.617","43.3","40.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bus Japanese Communication","377
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","21","3.381","33.3","19.0","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","15","3.333","26.7","26.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","18","3.444","16.7","55.6","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.286","9.5","52.4","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
005","21","3.476","23.8","52.4","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","19","3.583","31.6","47.4","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","397
007","23","3.283","17.4","39.1","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","397
008","19","3.368","10.5","73.7","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","397
009","19","3.342","10.5","68.4","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","397
010","18","3.056","27.8","22.2","22.2","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.548","38.1","38.1","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","20","3.550","15.0","80.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","21","3.238","19.0","33.3","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
014","22","3.310","22.7","31.8","27.3","9.1","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","397
015","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","20","3.500","15.0","70.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","18","3.250","5.6","44.4","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","333","3.382","20.7","47.4","23.4","5.1","1.5","1.2",".",".",".",".",".",".","0.6",".",".","."
"Tech Communications Intrshp","398
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","16","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","604
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","17","3.688","52.9","23.5","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Communicating Technical Info","617
001","38","3.122","13.2","39.5","31.6","5.3","2.6",".","5.3",".",".",".",".",".","2.6",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design I","622
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Project Management","626
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","37","3.878","94.6","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"","690
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 132 of 423",""
