"URBAN AND REGIONAL PLANNINSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","33","3.371","18.2","51.5","12.1","6.1","6.1",".",".",".",".",".",".",".","6.1",".",".","."
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"420","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","4","***","","","","","","","","","","","","","","","",""
"463
Evolution-American Planning","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"590","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","003","","16","3.962","75.0","6.3",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"590","004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","62","3.971","88.7","6.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"601
Site Planning","001","","14","3.792","50.0","35.7",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"734
Regional Econ Prob Analysis","001","","7","3.500","14.3","57.1","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","15","3.679","33.3","60.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"841
Func, Spatial Org&Envr Form","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
