"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"491","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","11","3.875","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"492","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Biofluidics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"508
Composite Materials","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Additive Manufacturing","001","","50","3.720","58.0","28.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
DigitalDgnMf","001","","16","3.719","62.5","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"532
Mtrx Mthds in Machine Learning","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","30","3.450","50.0","10.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","35","3.586","48.6","25.7","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","7","3.400","42.9",".","14.3",".","14.3",".",".","14.3",".",".",".",".",".","14.3",".","."
"570
Experimental Mechanics","001","","12","3.333","8.3","50.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","005","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","4.000","75.0",".",".",".",".",".",".","8.3",".",".",".",".","16.7",".",".","."
"717
Advanced Polymer Processing","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modlng&Simlatn-Polymer Proc","Course Total","","14","3.808","57.1","35.7",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"739
Advanced Robotics","003","","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"747
Adv Comp Ctrl-Machines&Proc","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"759","001","","20","3.763","70.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"759","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","Course Total","","25","3.771","72.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"764
Heat Transfer I-Conduction","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"769
Combustion Processes","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 142 of 423",""
