"920","041
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total
11","4.000","81.8",".","",".",".","",".","",".","",".","18.2","",".",".",".",".",".",".",".","."
"923
Clin Nuclr Med Clerk-CSC/VA","002
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"924
Gen Radiol Clerk-St Lukes","002
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","17
Dept. Total","3.970","82.4","5.9","",".",".","",".","",".","",".","11.8","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","12","3.958","83.3","8.3","",".",".","",".","",".","",".","8.3","",".",".",".",".",".",".",".","."
"Professionals","13","3.958","76.9","7.7","",".",".","",".","",".","",".","15.4","",".",".",".",".",".",".",".","."
"","Dept. Total
17","3.970","82.4","5.9","",".",".","",".","",".","",".","11.8","",".",".",".",".",".",".",".","."
