"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
124","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
130","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dissertation","Course Total","30","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"COMP SCI
266","Dept. Total","6458","3.210","31.9","20.3","19.8","11.2","6.5","2.3","1.5","3.6","0.0","2.3","0.1","0.1","0.3",".","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","178","2.838","20.8","12.9","29.8","15.7","9.6","5.6","3.4",".",".","1.1","0.6",".","0.6",".",".","."
"Sophomore","","1039","3.113","27.3","19.9","25.6","13.4","6.7","3.2","1.6",".",".","1.5","0.1",".","0.6",".",".","."
"Junior","","1606","3.125","27.5","20.7","22.2","13.0","7.7","2.4","2.2","0.2",".","3.5","0.2",".","0.4",".",".","."
"Senior","","2411","3.114","26.8","22.1","21.2","13.6","8.4","2.7","1.5","0.8","0.1","2.4","0.0","0.1","0.2",".",".","0.1"
"Undergraduates","","5234","3.108","26.9","20.9","22.7","13.5","7.9","2.8","1.8","0.4","0.0","2.5","0.1","0.0","0.3",".",".","0.0"
"Special","","240","3.589","55.8","22.1","12.9","4.2","2.1",".","1.3","0.4",".","1.3",".",".",".",".",".","."
"Graduate","","986","3.781","52.4","16.3","6.1","0.8","0.1","0.1",".","21.0","0.1","1.4",".","0.7","0.4",".","0.2","0.3"
"","Dept. Total","6460","3.210","31.9","20.2","19.8","11.2","6.5","2.3","1.5","3.6","0.0","2.3","0.1","0.1","0.3",".","0.0","0.1"
