"TERM : 1194","","","","Percentage Distribution of Grades","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2018-2019","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"JOURN
Dept. Total
512","1368","3.593","45.8","26.7","14.5","2.6","1.0","0.4","0.1","2.9","",".","5.0","0.1","0.7","0.1",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Freshmen","92","3.343","32.6","29.3","25.0","8.7","1.1","3.3",".",".","",".",".",".",".",".",".",".","."
"Sophomore","312","3.639","51.3","30.1","15.1","1.3","1.6",".",".",".","",".","0.3",".",".","0.3",".",".","."
"Junior","361","3.543","41.8","33.8","17.5","2.5","0.8","0.6","0.3",".","",".","2.8",".",".",".",".",".","."
"Senior","485","3.612","47.0","24.5","13.4","2.9","1.0","0.2","0.2",".","",".","10.5",".",".",".",".","0.2","."
"Undergraduates","1250","3.577","45.5","29.0","15.8","2.8","1.1","0.5","0.2",".","",".","5.0",".",".","0.1",".","0.1","."
"Special","7","3.769","28.6","28.6",".",".",".",".",".","28.6","",".",".",".",".",".",".","14.3","."
"Graduate","111","3.991","50.5","0.9",".",".",".",".",".","33.3","",".","5.4","0.9","8.1","0.9",".",".","."
"Dept. Total","1368","3.593","45.8","26.7","14.5","2.6","1.0","0.4","0.1","2.9","",".","5.0","0.1","0.7","0.1",".","0.1","."
