"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209
001","","27","3.889","85.2","11.1",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","240
001","","62","4.000","98.4",".",".",".",".",".",".",".",".",".",".",".",".","1.6",".","."
"Videogames & Learning","277
001","","144","3.804","80.6","11.1","3.5","1.4","1.4",".","1.4",".",".",".",".",".",".","0.7",".","."
"Intro to Music Education","300
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
311","","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Language Acquisition and Use","Course Total","","44","3.849","70.5","25.0","2.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Becoming Lit. in/out Schools","314
001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL/Bilingual Methods","316
001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","319
001","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","320
001","","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Use & Acq in Early Chldhd","326
001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Language of Schooling","338
001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Vocal Styles in Class","344
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Game Design I","357
001","","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","367
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","69","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"The Teaching of Reading","001
368","","24","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","370
003","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","66","3.969","93.9","3.0","1.5",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","371
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","25","3.940","96.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","45","3.967","97.8",".",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
004","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","91","3.978","96.7","2.2","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
