"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Stage Lighting I","366","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372","001","","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","376","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","002","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internships in Art","393","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Fabrication Studio","409","001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414","001","","14","3.885","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"Digital Imaging Studio","428","001","","17","3.676","76.5","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","448","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","010","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","46","3.985","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","452","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","85","3.826","70.6","7.1","4.7","1.2",".",".","1.2","11.8",".",".",".",".","2.4","1.2",".","."
"Advanced Drawing I","512","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Typography","525","001","","14","3.571","78.6",".","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529","001","","14","3.714","64.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Screen Performance","531","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","548","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","548","003","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","548","004","","12","3.583","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","548","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Advanced Level","","Course Total","","32","3.764","81.3","9.4","6.3",".",".",".","3.1",".",".",".",".",".",".",".",".","."
