"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETHI Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"213
001
Glbl Envir Hlth:Interdis Intro","119","3.563","37.0","40.3","21.0","1.7",".","",".",".",".","",".","",".",".","",".","",".",".",".","."
"515
001
Public Health Ethics","14","3.500","21.4","64.3",".",".","7.1","",".",".",".","",".","",".",".","",".","","7.1",".",".","."
"531
001
Women & Health-Amer History","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"558
001
Ethical Issues in Health Care","52","3.255","21.2","32.7","28.8","13.5",".","",".","1.9",".","",".","",".",".","",".","",".","1.9",".","."
"564
001
History Medicine-Latin America","12","3.792","75.0","16.7",".","8.3",".","",".",".",".","",".","",".",".","",".","",".",".",".","."
"730
001
Ethical Issues in Medicine","22","3.976","90.9","4.5",".",".",".","",".",".",".","",".","",".",".","",".","",".",".","4.5","."
"MED HIST
Dept. Total
452","221","3.502","39.4","35.3","18.1","4.5","0.9","",".","0.5","",".","",".",".","",".","",".","0.5","0.5","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","8","3.500","37.5","25.0","37.5",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","82","3.476","29.3","42.7","22.0","6.1",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","105","3.490","37.1","37.1","17.1","4.8","1.9","",".","1.0","",".","",".",".","",".","",".","1.0",".",".","."
"Undergraduates","195","3.485","33.8","39.0","20.0","5.1","1.0","",".","0.5","",".","",".",".","",".","",".","0.5",".",".","."
"Special","4","***","","","","","","","","","","","","",".","",".","",".",".","25.0",".","."
"Prof Yr 1","18","4.000","94.4",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","5.6","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","22","3.976","90.9","4.5",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","4.5","."
"Dept. Total","221","3.502","39.4","35.3","18.1","4.5","0.9","",".","0.5","",".","",".",".","",".","",".","0.5","0.5","0.5","."
