"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"725
Advanced Community Nutrition","001","","31","3.790","77.4","9.7","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","7","3.600","14.3","57.1",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","32","",".",".",".",".",".",".",".","90.6",".",".",".","9.4",".",".",".","."
